,state,cpus,alloc_cpus,cpu_load,real_memory,alloc_mem,free_mem
compute-e-16-226,ALLOCATED,28,28,3591,257548,114208,777
compute-e-16-227,ALLOCATED,28,28,3568,257548,160768,24429
compute-e-16-228,ALLOCATED,28,28,4115,257548,155776,8114
compute-e-16-229,MIXED+COMPLETING,28,27,1958,257548,241680,3990
compute-e-16-230,IDLE+DRAIN,28,0,351,257548,0,56860
compute-e-16-231,ALLOCATED,28,28,1905,257548,199844,4479
compute-e-16-233,ALLOCATED,28,28,5607,257548,257104,87599
compute-e-16-235,MIXED,28,25,52,257548,215520,63965
compute-e-16-236,MIXED,28,21,54,257548,254800,172626
compute-e-16-237,MIXED,28,6,668,257548,257000,82601
compute-e-16-238,DOWN*+DRAIN,28,0,,257548,0,
compute-e-16-239,DOWN,28,0,52,257548,0,254940
compute-e-16-240,ALLOCATED,28,28,2601,257548,131072,815
compute-e-16-241,ALLOCATED,28,28,1693,257548,32768,37909
compute-e-16-242,ALLOCATED,28,28,1756,257548,114592,66453
compute-e-16-243,MIXED+COMPLETING,28,23,2509,257548,203776,648
compute-e-16-244,ALLOCATED,28,28,3642,257548,109472,71000
compute-e-16-245,ALLOCATED,28,28,3374,257548,221184,687
compute-e-16-246,MIXED,28,22,1392,257548,34332,10866
compute-e-16-247,ALLOCATED,28,28,4511,257548,109398,669
compute-e-16-248,MIXED,28,18,1495,257548,87920,636
compute-e-16-249,MIXED,28,27,4139,257548,250868,19367
compute-e-16-250,ALLOCATED,28,28,3272,257548,117688,730
compute-e-16-251,MIXED,28,26,2405,257548,63816,69294
compute-e-16-252,MIXED,28,26,3301,257548,171308,5743
compute-e-16-253,MIXED,28,27,3949,257548,195008,1033
compute-f-17-09,ALLOCATED,20,20,1872,190425,53696,32993
compute-f-17-10,DOWN*,20,0,,190425,0,
compute-f-17-11,ALLOCATED,20,20,1942,190425,146432,535
compute-f-17-12,ALLOCATED,20,20,2629,190425,137216,1018
compute-f-17-13,ALLOCATED,20,20,1726,190425,32768,66601
compute-f-17-14,ALLOCATED,20,20,1666,190425,111616,4342
compute-f-17-15,ALLOCATED,20,20,1872,190425,65488,3111
compute-f-17-16,ALLOCATED,20,20,1735,190425,75776,1550
compute-f-17-17,MIXED,20,18,1631,190425,155696,10806
compute-f-17-18,ALLOCATED,20,20,798,190425,162752,37639
compute-f-17-19,ALLOCATED,20,20,922,190425,107604,8068
compute-f-17-20,MIXED,20,19,603,190425,61752,521
compute-f-17-21,ALLOCATED,20,20,918,190425,97536,4446
compute-f-17-22,ALLOCATED,20,20,823,190425,165824,9105
compute-f-17-23,MIXED,20,13,2512,190425,136120,20807
compute-f-17-24,ALLOCATED,20,20,1095,190425,132904,51315
compute-f-17-25,ALLOCATED,16,16,704,128725,36476,10277
compute-g-16-175,MIXED,20,11,429,257548,240040,31750
compute-g-16-176,MIXED,20,19,1608,257548,54080,60717
compute-g-16-177,IDLE,24,0,1,257548,0,26223
compute-g-16-194,MIXED,20,10,243,257548,53152,105959
compute-g-16-254,IDLE*,32,0,1,373760,0,381456
compute-g-16-255,IDLE*,32,0,1,373760,0,378919
compute-h-16-195,IDLE,12,0,2,768000,0,626516
compute-h-16-196,IDLE,16,0,6,307200,0,310528
compute-p-17-01,ALLOCATED,36,36,2745,257675,158360,4832
compute-p-17-02,DOWN*,36,0,,225421,0,
compute-p-17-03,IDLE,36,0,1453,257675,0,20217
compute-p-17-04,MIXED,36,8,1513,257675,100000,36034
compute-p-17-05,IDLE,36,0,252,257675,0,925
compute-p-17-06,IDLE,36,0,151,257675,0,20095
compute-p-17-07,DOWN*,36,0,,257675,0,
compute-p-17-08,IDLE,36,0,253,257675,0,119345
compute-p-17-26,IDLE,36,0,150,257675,0,14971
compute-p-17-27,IDLE,36,0,153,257675,0,18730
compute-p-17-28,IDLE,36,0,158,257675,0,12424
compute-p-17-29,IDLE,36,0,151,257675,0,13295
compute-p-17-30,IDLE,36,0,51,257675,0,23832
compute-p-17-31,IDLE,36,0,153,257675,0,19247
compute-p-17-32,IDLE,36,0,252,257675,0,19732
compute-p-17-33,IDLE,36,0,253,257675,0,15714
compute-p-17-34,MIXED,36,8,1580,257675,100000,650
compute-p-17-35,IDLE,36,0,150,257675,0,19311
compute-p-17-36,IDLE,36,0,253,257675,0,22350
compute-p-17-37,IDLE,36,0,50,257675,0,1228
compute-p-17-38,IDLE,36,0,254,257675,0,19100
compute-p-17-39,MIXED+DRAIN,36,8,1399,257675,100000,674
compute-p-17-40,IDLE,36,0,255,257675,0,17725
compute-p-17-41,IDLE,36,0,51,257675,0,194969
compute-p-17-42,MIXED,40,8,951,1024425,20000,151888
compute-p-17-43,IDLE+DRAIN,40,0,203,1024425,0,3053
compute-p-17-44,IDLE+DRAIN,40,0,403,1024425,0,3291
compute-p-17-45,MIXED,40,27,3,1024425,113400,1024546
compute-p-17-46,IDLE,40,0,522,1024425,0,163242
compute-t-16-172,IDLE,4,0,1,6656,0,399
compute-t-16-173,IDLE,4,0,1,6656,0,370
compute-t-16-174,IDLE,4,0,2,6656,0,386
